module	T	B	N	F	fns
AFDMC_MBL_Cohomology.olean	29	806	1508	1	1399
AgentSelf.olean	9	1220	1158	0	1306
Agricola.olean	4	717	4156	0	2696
Algebra.olean	69	1426	6450	1	5133
ArsAnimaglyphica.olean	4	3819	3898	0	5211
ArsCrossDomain.olean	48	4078	6213	0	6332
ArsFungiglyphica.olean	34	2432	1710	0	3083
AtHomeSanguineHomunculus.olean	64	1353	3394	0	2685
AutopoieticConvergence_UPDATED.olean	101	4054	25455	1	23475
AxiomD_Demotion.olean	8	1926	4248	0	4789
B4FactorBootstrap.olean	0	1912	979	0	2038
Barriers.olean	116	2450	6527	1	5368
Basic.olean	4	329	727	0	541
BasilValentine.olean	4	605	1868	0	1690
BooksOfJeu.olean	82	2756	13402	0	7449
BootstrapSequence.olean	74	1993	14194	1	10047
BotanicalWalkthrough.olean	50	1356	4429	1	4156
BoundaryOperators.olean	133	5945	18094	0	16928
BruceCodex/BooksOfJeu.olean	15	744	1423	0	1432
BruceCodex/UntitledText.olean	7	1093	6225	0	6453
CL9NK_Chain.olean	127	2035	4026	0	3821
CLINK.olean	325	11780	110305	2	63148
CLINK_L9.olean	9	807	3327	0	3385
CLU744Bridge.olean	17	966	2840	0	2827
CatalogImmutability.olean	40	788	2469	0	1746
CirculatumMinus.olean	7	578	1819	0	1002
Classical/APIntersectingFamily.olean	178	3790	31240	1	28733
Classical/BoseChowla.olean	240	7360	54012	3	38238
Classical/DifferenceSetSyndetic.olean	5	883	2765	0	2931
Classical/ErdosLaxDivergence.olean	19	656	1132	0	1040
Classical/ErdosProblem16.olean	65	2373	13152	2	12850
Classical/ErdosPropertyP.olean	19	1043	2695	0	2388
Classical/ErdosStrausDecomposition.olean	255	10824	57441	10	50116
Classical/ErdosTuranBound.olean	340	6162	30714	6	17706
Classical/ErdosTuranReduction.olean	71	2271	13484	1	6101
Classical/ErdosTuranSmallC.olean	131	1316	15505	0	3984
Classical/HajnalSpecker.olean	4	1150	1494	0	2019
Classical/HeckeLandau.olean	11	679	1048	0	1096
Classical/InfiniteSidon.olean	212	2815	15677	3	7000
Classical/MatchingSDR.olean	13	931	3168	0	1747
Classical/RamseyAsymptotics.olean	35	1096	3869	0	3874
Classical/RepresentationParity.olean	49	7997	22621	1	10465
Classical/SidonRepresentation.olean	61	6335	6290	0	7473
Classical/Solitary10.olean	1913	12545	45269	43	20524
Classical/Szemeredi.olean	36	2149	10513	2	10736
Classical/TriangleTiling.olean	23	856	1548	0	1526
Classical/UnitDistanceDiameterOne.olean	16	701	919	0	1075
Classical/UnitDistancePhaseTransition.olean	13	1022	2654	0	2857
Classical/WindowedBound.olean	965	17375	63097	24	36562
Coagula/Polymer.olean	322	11010	20393	0	19944
CollatzOperationalized.olean	297	2104	8260	11	5752
ColoursGreatWork.olean	11	571	921	0	975
CompletingD2048InD12.olean	13	1312	9174	0	6601
Consciousness.olean	29	742	2425	0	1732
CosmicHolonomy.olean	81	1670	7260	3	3645
Decomposition.olean	143	2776	8148	1	6504
DecompositionTable.olean	104	1454	3762	0	2925
EudoxusSixKeys.olean	5	694	1510	0	1000
EulerInvariant.olean	59	2073	4505	1	4563
FoldVerdict.olean	485	6062	19957	5	15163
FrancisBacon.olean	5	626	1176	0	1221
FrancisBaconGold.olean	7	595	2243	0	2420
Frobenius.olean	193	1813	14684	2	6023
GateOrdering.olean	308	13871	11725	5	12176
GeneToProtein.olean	70	9855	21833	0	26634
GeneticCode.olean	244	42005	157863	0	47178
HermeticVesselPolymer.olean	13	1791	11605	0	5365
HowDiracEquationArise.olean	37	1901	12476	0	7828
HowHilbertQMArise.olean	27	853	2194	0	1831
HowInductionArise.olean	33	1105	4241	0	4190
HowNaturalNumbersArise.olean	93	3203	20342	2	12481
HowProbabilityArise.olean	18	986	5793	0	4706
IGFunctor.olean	83	1837	10112	2	9880
IGMorphism.olean	213	7370	38305	20	14049
IGScaffold.olean	39	2838	16921	0	16441
IG_Algebra.olean	71	1667	8272	1	5787
IMASM/BankedWeight.olean	55	2011	16869	0	16801
Isomorphisms.olean	29	998	2592	0	2221
JohnFrench.olean	1	580	1693	0	959
LandoMills.olean	5	1550	1487	0	2064
LiarIdempotent.olean	4	949	2775	0	2979
LiminalSpaces.olean	112	2918	13673	3	13933
MachHolonomy.olean	188	4343	21542	7	19706
ManuscriptSpine/Questions.olean	34	3356	18026	1	4100
ManuscriptSpine/QuestionsExtended.olean	12	2012	1500	0	2179
MetaYonedaCollapse.olean	11	2601	1651	0	2528
Millennium/A1A2CoptMacrocycle.olean	20	1799	7233	0	4955
Millennium/AlchemicalHermeticUniverse.olean	27	1270	6751	0	4867
Millennium/BSD.olean	20	1865	4442	0	4814
Millennium/BSD_Complete_Witness.olean	55	1771	5087	0	5217
Millennium/BSD_GateInhabitants.olean	19	1190	2344	0	2552
Millennium/BSD_MathBridge.olean	12	1024	2358	0	2606
Millennium/BSD_Resolution.olean	30	1542	10011	0	4461
Millennium/BSD_Witness.olean	7	861	2458	0	2630
Millennium/BanachMeasure.olean	461	4835	31945	0	20625
Millennium/Beal.olean	386	36165	175481	2	110497
Millennium/BiochemicalMassGapUnification.olean	31	1046	1626	2	1757
Millennium/BosonMassRatios.olean	63	1434	3394	0	3016
Millennium/CKMFullDerivation.olean	30	1004	1857	0	1787
Millennium/CMPLX_IMGN.olean	694	9223	49662	7	22232
Millennium/CanonicalOrdinalFaithfulness.olean	1	4994	4209	0	5965
Millennium/Chema.olean	68	1628	14635	0	14647
Millennium/ClayCandidateProfile.olean	19	753	1437	0	1429
Millennium/ClayCandidateTuples.olean	1	1079	745	0	1141
Millennium/ClayCanonicalTuples.olean	11	865	1664	0	1285
Millennium/Clay_TransportedClosure.olean	36	1557	12544	10	8311
Millennium/Clay_UnclosedResistance.olean	7	2511	1245	0	1866
Millennium/Clay_WitnessedClosure.olean	68	1368	2895	2	2527
Millennium/Collatz.olean	185	4122	10137	5	9213
Millennium/CompositionRules.olean	7	2878	1586	2	2797
Millennium/ContinuumMacrocycle.olean	116	9584	6663	0	10904
Millennium/ConventionalDelta.olean	57	1968	10502	1	10326
Millennium/Cosmogeny.olean	283	4650	15393	1	12649
Millennium/Cramer.olean	34	3230	11537	0	4259
Millennium/CrystalBoot.olean	27	1043	3097	2	1767
Millennium/DarkEnergy.olean	55	1776	4668	1	4324
Millennium/DialetheicUniverse.olean	45	1759	8901	2	8594
Millennium/DimensionfulEmission.olean	22	812	1631	0	1400
Millennium/Dixmier.olean	26	1242	2817	0	2783
Millennium/DualLinkVessel.olean	608	8888	30201	6	22505
Millennium/E8G2_Vessel.olean	10	750	1280	0	1310
Millennium/E8G2_Vessel_Witnesses.olean	56	802	2392	0	2003
Millennium/EilenbergGanea.olean	64	3610	18508	1	18564
Millennium/Erdos/APFreeReduction.olean	217	7568	17131	4	16424
Millennium/Erdos/AdditiveEnergy.olean	117	2211	7118	2	5675
Millennium/Erdos/AntiRamseyOddCycles.olean	108	3986	21857	2	17828
Millennium/Erdos/Base.olean	12	1014	6118	0	2915
Millennium/Erdos/BinomialGCD.olean	31	1933	9274	0	3646
Millennium/Erdos/ChromaticOddCycle.olean	55	2312	9770	0	7485
Millennium/Erdos/CollatzDepthSplit.olean	4410	70488	371229	46	311913
Millennium/Erdos/Collatz_Escape_Measure.olean	19	861	2009	1	1429
Millennium/Erdos/Collatz_Proof_Skeleton.olean	174	7332	55206	0	52872
Millennium/Erdos/Collatz_Unified_Closure.olean	42	1604	8014	1	5802
Millennium/Erdos/DifferenceSets.olean	47	2788	13761	0	13700
Millennium/Erdos/ErdosKacInterval.olean	91	4180	3928	1	5507
Millennium/Erdos/ErdosTuranAP.olean	49	1733	3607	0	3314
Millennium/Erdos/MonochromaticOddCycle.olean	37	2187	6701	0	6665
Millennium/Erdos/PolynomAsymptotics.olean	96	2436	6884	2	4299
Millennium/Erdos/PomeranceSDR.olean	61	3681	27273	0	20288
Millennium/Erdos/Problems/FullDecomposedProof.olean	19	925	3344	0	2992
Millennium/Erdos/Problems/FullyDecomposedProof.olean	25	1002	4619	0	4665
Millennium/Erdos/Problems/Problem0003.olean	239	3347	14030	3	12097
Millennium/Erdos/Problems/Problem0041.olean	67	2420	11422	0	10536
Millennium/Erdos/Problems/Problem0500.olean	11	788	1536	0	1552
Millennium/Erdos/Problems/Problem0564.olean	67	1808	4274	0	3596
Millennium/Erdos/Problems/Problem0593.olean	42	2685	23116	0	19183
Millennium/Erdos/Problems/Problem1135.olean	89	5726	3785	0	5393
