module	T	B	N	F	fns
Imscribing/AFDMC_MBL_Cohomology	0	4	67	0	56
Imscribing/AgentSelf	0	4	47	0	41
Imscribing/Agricola	0	4	47	0	41
Imscribing/Algebra	0	19	216	0	183
Imscribing/ArsAnimaglyphica	0	5	43	0	39
Imscribing/ArsCrossDomain	0	14	107	0	96
Imscribing/ArsFungiglyphica	0	6	43	0	40
Imscribing/AtHomeSanguineHomunculus	0	6	67	0	58
Imscribing/AutopoieticConvergence_UPDATED	0	126	403	0	408
Imscribing/AxiomD_Demotion	0	4	47	0	41
Imscribing/B4FactorBootstrap	0	4	59	0	50
Imscribing/Barriers	1	152	265	0	268
Imscribing/Basic	0	4	39	0	35
Imscribing/BasilValentine	0	4	43	0	38
Imscribing/BooksOfJeu	0	20	189	0	172
Imscribing/BootstrapSequence	0	10	59	0	56
Imscribing/BotanicalWalkthrough	0	4	51	0	44
Imscribing/BoundaryOperators	2	118	446	0	484
Imscribing/BruceCodex/BooksOfJeu	0	4	43	0	38
Imscribing/BruceCodex/UntitledText	0	4	43	0	38
Imscribing/CL9NK_Chain	0	7	63	0	56
Imscribing/CLINK	3	86	321	0	351
Imscribing/CLINK_L9	0	4	43	0	38
Imscribing/CLU744Bridge	0	4	47	0	41
Imscribing/CatalogImmutability	0	4	55	0	47
Imscribing/CirculatumMinus	0	4	47	0	41
Imscribing/Classical/APIntersectingFamily	0	39	297	0	275
Imscribing/Classical/BoseChowla	0	4	35	0	32
Imscribing/Classical/DifferenceSetSyndetic	0	4	35	0	32
Imscribing/Classical/ErdosLaxDivergence	0	4	35	0	32
Imscribing/Classical/ErdosProblem16	0	4	47	0	41
Imscribing/Classical/ErdosPropertyP	0	4	35	0	32
Imscribing/Classical/ErdosStrausDecomposition	0	4	35	0	32
Imscribing/Classical/ErdosTuranBound	0	12	138	0	121
Imscribing/Classical/ErdosTuranReduction	0	4	39	0	35
Imscribing/Classical/ErdosTuranSmallC	0	9	91	0	81
Imscribing/Classical/HajnalSpecker	0	4	35	0	32
Imscribing/Classical/HeckeLandau	0	4	39	0	35
Imscribing/Classical/InfiniteSidon	0	8	79	0	69
Imscribing/Classical/MatchingSDR	0	14	99	0	91
Imscribing/Classical/RamseyAsymptotics	0	6	69	0	60
Imscribing/Classical/RepresentationParity	0	8	115	0	101
Imscribing/Classical/SidonRepresentation	0	7	67	0	59
Imscribing/Classical/Solitary10	0	8	167	0	135
Imscribing/Classical/Szemeredi	0	8	63	0	58
Imscribing/Classical/TriangleTiling	0	4	35	0	32
Imscribing/Classical/UnitDistanceDiameterOne	0	4	35	0	32
Imscribing/Classical/UnitDistancePhaseTransition	0	4	35	0	32
Imscribing/Classical/WindowedBound	0	13	119	0	105
Imscribing/Coagula/Polymer	7	106	525	0	526
Imscribing/CollatzOperationalized	4	123	315	0	373
Imscribing/ColoursGreatWork	0	4	47	0	41
Imscribing/CompletingD2048InD12	0	6	51	0	46
Imscribing/Consciousness	0	6	89	0	77
Imscribing/CosmicHolonomy	0	8	52	0	49
