  k      nodes   branch  p(2 mod 3)  maxdev mod 9  maxdev mod 27
  1          1  1.00000    1.000000       8.00000       26.00000
  2          1  1.00000    0.000000       8.00000       26.00000
  3          1  1.00000    1.000000       8.00000       26.00000
  4          2  2.00000    0.500000       3.50000       12.50000
  5          3  1.50000    0.333333       2.00000        8.00000
  6          4  1.33333    0.250000       1.25000        5.75000
  7          5  1.25000    0.200000       2.60000        9.80000
  8          6  1.20000    0.333333       2.00000        8.00000
  9          8  1.33333    0.500000       3.50000        5.75000
 10         12  1.50000    0.500000       2.00000        3.50000
 11         18  1.50000    0.333333       1.50000        3.50000
 12         24  1.33333    0.291667       0.87500        2.37500
 13         31  1.29167    0.258065       0.74194        1.61290
 14         39  1.25806    0.282051       0.61538        1.07692
 15         50  1.28205    0.360000       0.44000        1.16000
 16         68  1.36000    0.338235       0.45588        1.00000
 17         91  1.33824    0.318681       0.30769        1.00000
 18        120  1.31868    0.325000       0.32500        0.77500
 19        159  1.32500    0.327044       0.24528        0.69811
 20        211  1.32704    0.336493       0.23697        0.61611
 21        282  1.33649    0.351064       0.23404        0.53191
 22        381  1.35106    0.325459       0.26772        0.70079
 23        505  1.32546    0.316832       0.12673        0.49703
 24        665  1.31683    0.330827       0.12331        0.46165
 25        885  1.33083    0.341243       0.15932        0.29831
 26       1187  1.34124    0.339511       0.05392        0.27380
 27       1590  1.33951    0.334591       0.05283        0.23962
 28       2122  1.33459    0.333176       0.03063        0.16023
 29       2829  1.33318    0.330859       0.02333        0.17922
 30       3765  1.33086    0.331740       0.05339        0.13944
 31       5014  1.33174    0.332669       0.02673        0.09533
 32       6682  1.33267    0.332236       0.01691        0.08680
 33       8902  1.33224    0.334307       0.01707        0.06583
 34      11878  1.33431    0.333895       0.01650        0.05245
 35      15844  1.33389    0.333123       0.00991        0.06103
 36      21122  1.33312    0.332734       0.01113        0.04384
 37      28150  1.33273    0.333428       0.01510        0.03684
 38      37536  1.33343    0.333840       0.01039        0.03149
