  k  survivors     c<r  members    largest n
  1          1       0        0            0
  2          1       0        0            0
  3          2       0        0            0
  4          3       0        0            0
  5          4       0        0            0
  6          8       0        0            0
  7         13       0        0            0
  8         19       0        0            0
  9         38       0        0            0
 10         64       0        0            0
 11        128       0        0            0
 12        226       0        0            0
 13        367       0        0            0
 14        734       0        0            0
 15       1295       0        0            0
 16       2114       0        0            0
 17       4228       0        0            0
 18       7495       0        0            0
 19      14990       0        0            0
 20      27328       0        0            0
