  k     nodes      dev3      dev9     dev27      r3      r9     r27
 12        24   0.25000   0.87500   2.37500  0.8409  0.8409  0.8125
 13        31   0.25806   0.74194   1.61290     nan  0.8834  0.8186
 14        39   0.15385   0.61538   1.07692  0.8630  0.9152  0.8111
 15        50   0.10000   0.44000   1.16000  0.8409  0.8009  0.7659
 16        68   0.02941   0.45588   1.00000     nan  0.8312  0.7711
 17        91   0.05495   0.30769   1.00000  0.7588  0.7379  0.8036
 18       120   0.07500   0.32500   0.77500  0.7889  0.7968  0.8282
 19       159   0.03774   0.24528   0.69811  0.8305  0.7974  0.8175
 20       211   0.04739   0.23697   0.61611  0.8123  0.8493  0.8448
 21       282   0.05319   0.23404   0.53191  0.8209  0.8657  0.8705
 22       381   0.02362   0.26772   0.70079  0.7912  0.9012  0.9477
 23       505   0.04950   0.12673   0.49703  0.9159  0.8559  0.8995
 24       665   0.01053   0.12331   0.46165  0.8795  0.8492  0.9079
 25       885   0.02373   0.15932   0.29831  0.9004  0.9210  0.8597
 26      1187   0.02696   0.05392   0.27380  0.8799  0.7989  0.8780
 27      1590   0.01132   0.05283   0.23962  0.8603  0.8254  0.8749
 28      2122   0.00377   0.03063   0.16023  0.7287  0.7743  0.8451
 29      2829   0.01060   0.02333   0.17922  0.8174  0.7496  0.8729
 30      3765   0.01434   0.05339   0.13944  0.9395  0.8175  0.8172
 31      5014   0.00339   0.02673   0.09533  0.7152  0.8232  0.8135
 32      6682   0.00329   0.01691   0.08680  0.8648  0.7801  0.8115
 33      8902   0.00292   0.01707   0.06583  0.7696  0.7564  0.8279
 34     11878   0.00168   0.01650   0.05245  0.7070  0.8624  0.8134
