Chernoff rate rho = 0.965907 (theta = 0.3383), per-level density factor
  k  survivors    density   A(s>=1)   B(s<1)   mean s    max s   pred S+1
  1          1   0.500000         0        1   0.5850   0.5850          1
  2          1   0.250000         1        0   1.1699   1.1699          2
  3          2   0.250000         1        1   0.9624   1.7549          3
  4          3   0.187500         1        2   1.2832   2.3399          4
  5          4   0.125000         4        0   1.7361   2.9248          8
  6          8   0.125000         5        3   1.5286   3.5098         13
  7         13   0.101562         6        7   1.7783   4.0947         19
  8         19   0.074219        19        0   2.1771   4.6797         38
  9         38   0.074219        26       12   1.9696   5.2647         64
 10         64   0.062500        64        0   2.1844   5.8496        128
 11        128   0.062500        98       30   1.9769   6.4346        226
 12        226   0.055176       141       85   2.1244   7.0196        367
 13        367   0.044800       367        0   2.4350   7.6045        734
 14        734   0.044800       561      173   2.2275   8.1895       1295
 15       1295   0.039520       819      476   2.3881   8.7744       2114
 16       2114   0.032257      2114        0   2.7054   9.3594       4228
 17       4228   0.032257      3267      961   2.4979   9.9444       7495
 18       7495   0.028591      7495        0   2.6565  10.5293      14990
 19      14990   0.028591     12338     2652   2.4490  11.1143      27328
 20      27328   0.026062     19283     8045   2.5542  11.6993      46611
 21      46611   0.022226     46611        0   2.8199  12.2842      93222
 22      93222   0.022226     75585    17637   2.6124  12.8692     168807
