Chernoff rate rho = 0.96590655 at theta = 0.338309
    k                    survivors      density dens^(1/k)
  100  302560669500543257546172187   0.00023868   0.919979
  200 4917911213247274697935031643998322726370567793471092895   0.00000306   0.938488
  300 111358800986904242131297286221730529252986567662022866509378290558038512175289008981   0.00000005   0.945785
  400 2991976163397584332049206932845884542213698957101572273358822068486559963480621878733925829902904362475424974343   0.00000000   0.949861
  500 87021278249897937515360373875149190908779415905852926972014983380008739148197078965285084410585905422749739380641259471228380960815303168471   0.00000000   0.952466
  600 2674560943011271865233556089327414081296508367980099708601998850194763292910073561359513759808788262352781303902218820760394665036601367197050465719622237241959294152626   0.00000000   0.954294
  700 82683367084512810637688663476775457995145954151120921733251925657136745057957996557404646795366884517583178228515732860059922842078049441685572962981219789135168892691122807448831625304256001471792   0.00000000   0.955610
  800 2731439619281608863055542031495729042216483630579418201301687101560329458640717177481274626590175463511116428366369021525273688923063989000344795714749381742847693692281251173838908230723953429861501403371680891319790450644960   0.00000000   0.956677
  900 91604956402747303803473058575338607424426849297116167878659551195446919007231824106571517519270137125635131998418085456531905589866068457216780713077257748625777382831891126555984581570860840463380433020709968932910933741392444796481549955446367849755148   0.00000000   0.957525
 1000 3109438474607968478298162971882588842148714101728341860246032057365961263961391042518719744303505630118461099830704515428391172282117587209528058495034191148109077456701188055537126901836229255549019373120103719651542175498725561516982992787170814887207411401660931766283129358801166   0.00000000   0.958214
 1100 100607689555947643727123329518884887357245465390547417731021409949656388061883861134487999706112420915769595400147862560192452680631991300233954678401289456559885484520014661088205161671551149754816396039383750245080554059517436947315206107798618953932403798216210675090072933065387457726562736506753269436036770   0.00000000   0.958737
 1200 3550540390595172589929133590341631464026856672677321264822208628752348866919520250921606620513001548575384033344762208901953622526079339264823572822263169372665424394067252044398700905703546247976627673561641645027611225835069666361674767734530334595787974659993334994665069761246953331896621792605523188054590332228296916595315471185775291   0.00000000   0.959243
 1300 125672961862966676518940612422793887018547119150731937719457668777442489854970387173128312690137320112526252326611937055735310729809131085364258270690168640826544453252118529797747866290094733285034410221013659162364653088142721983036307280091423530055236370856720542082483775685969618041776920705477100497716878391355673424396957242661507664551128719254214781693085652   0.00000000   0.959673
 1400 4461646920994120891358073855176523436656373020551252568726461246837346279045410582252699790634803306313913437513244005577465626600562549299005604668488051536256790694925094826396097586505770945803435489784776836133987765131650590531119813309700082618675003078954556332752322102904506555018381431733206585613046748375103697515467072632721232733550153948929082144094362517487978299624007263392288374   0.00000000   0.960044
 1500 162023414218863901047493986338908482230910099928798691295628780298061059627142034346168221758685937818438091728381698607359334650208569239788424245216865107786365766570763076451467108538041793418617884388808142688126114257479438124440617231856117098217907620598466708315191307979186435484187535723071113237221568029335304609920238365818431396956243023980609404052168544803345157088413319442858328473938961487117923819532624238   0.00000000   0.960380
 1600 5884264499407468520328039162241875196697232783054409539101011306915257131896096732680231342592071231817981210981897332008113421249334287437764486120663013120602538943317095247642328971083042995811636480025540427010786601192961965923291494978487527287062870487672166494495615047532082718505082606800067429253865779017073788528886432280491701597316436447858774396547723446380215273197267045581897294473853109748464003826713675753207756501755447138143395685   0.00000000   0.960674
 1700 213028605535153258799696223549047903054071961894376082062499043389595389707896566943642992551954162396821656622632519556439045512435963161272412722540121272768620270313198671408768540221070214612308245821671171237909891463261917863781999748067309337218223347953000123781966819569836811529349578193341564565496245563881685182103181185014123452389534735094942393405288124567297458100252115221472374475651767744843385224121573815474144410526365932186145840730333180092678393276318978289   0.00000000   0.960932
 1800 7601554556428321835033073062786155490263611801884917521100506244268451949165116582084942063649338646862607498407448201708111941608179026115531243974259596605120491317240439376848391580369508112459117701988750511636528419862973485154142984155622319619475119024001717435355489330790941551731701081926313579053347041137953904994779159058970240772065841246647587182575701569738405697812455482096886145575328760112019507339701487196923279270914659005533071906459635269358351626482582215164593954051314817725266067604   0.00000000   0.961153
 1900 281643935836703384943971589377791559204114143588873746141711955554348521926882736022247514151274062859710217241676424933840880138822900980263869200273842431603250885795523717977930717956059672889793692935863646472828051689015305366102267327612169163731671672128992241301910099824394721057026070188002645628766409955698442375633993020573252850880608268551656475127070295570663046858038740058669177762337508116243476553922130706131089241138731079332521099168539451412531631901420879834072056329697678130252559548053052476183679020168444234174   0.00000000   0.961371
 2000 10399848452429054565370156515709569764788106590890479775294002826496340978328740323120799078707511215008526411121323162914757175317474999364944286157388708645452676152936064385424010218044309762374618143786024953594452322733412483444284382895809125802609016321421096012547979373822008333435976585919161371688287172329706593630655795013871386177645182245995823330005228947584878030742851489071285419371665070609674483044692600522115826213322218010123165727155363961416618447276328936399302607027345790538946452817535850369808066688154886726032704440517729083381910184322   0.00000000   0.961565

per-level density factor over k = 500..1000: 0.96399797
per-level density factor over k = 1000..2000: 0.96492676
