Millennium.ErdosProblems.ErdosTuran.roth_density_tendsto_zero	N	3
Millennium.ErdosProblems.ErdosTuran.primes_reciprocal_diverges	N	3
Millennium.ErdosProblems.ErdosTuran.behrend_lower_bound	N	5
Millennium.ErdosProblems.erdos_problem_3_k3'	N	7
Millennium.ErdosProblems.three_ap_of_dense	T	3884
Millennium.ErdosProblems.erdos_problem_3_k3_unconditional	B	2025
Millennium.ErdosProblems.dyadic_split	N	6605
Millennium.ErdosProblems.erdos_problem_3_k3	T	426
Millennium.ErdosProblems.erdos_problem_3_full	N	9
Millennium.ErdosProblems.ErdosTuran.density_gives_reciprocal_mass	N	38241
Millennium.ErdosProblems.ErdosTuran.dense_has_3ap	N	17
Millennium.ErdosProblems.erdos_turan_ap_tier	B	15
Millennium.ErdosProblems.three_ap_of_not_threeAPFree	T	7365
Millennium.ErdosProblems.summable_of_blocks	T	13493
Millennium.ErdosProblems.erdos_k3_certified	N	9
Millennium.ErdosProblems.erdos_problem_3_k3_of_roth_bound	N	29
Millennium.ErdosProblems.block_card_le	N	24981
Millennium.ErdosProblems.block_sum_le	T	49395
