Belnap.ofNat_ctorIdx	T	42
Belnap.bnot.eq_4	N	9
Belnap.B.sizeOf_spec	N	15
Belnap.bnot.eq_3	N	9
Belnap.T.sizeOf_spec	N	15
Belnap.bnot.eq_2	N	9
Belnap.bnot.eq_1	N	9
Belnap.F.sizeOf_spec	N	15
Belnap.N.sizeOf_spec	N	15
ParaconsistentFrobeniusClosure.inc_inc_eq_inc	N	5
ParaconsistentFrobeniusClosure.B_is_fixed_point	N	9
ParaconsistentFrobeniusClosure.inc_band_collapse	T	958
ParaconsistentFrobeniusClosure.inc_bor_collapse	T	958
ParaconsistentFrobeniusClosure.inc_image_singleton	T	844
ParaconsistentFrobeniusClosure.frobenius_roundtrip	N	5
ParaconsistentFrobeniusClosure.only_B_is_fixed_point	T	224
ParaconsistentFrobeniusClosure.frobenius_closure	T	194
ParaconsistentFrobeniusClosure.inc_always_B	T	166
ParaconsistentFrobeniusClosure.B_band_B	N	11
ParaconsistentFrobeniusClosure.frobenius_closure_complete_verification	N	515
ParaconsistentFrobeniusClosure.kernel_verification	N	3
ParaconsistentFrobeniusClosure.inc_bnot_stable	T	194
ParaconsistentFrobeniusClosure.frobenius_closure_decidable	T	434
ParaconsistentFrobeniusClosure.inc_band_inc	N	193
ClassicalRestriction.switch_incl_retract	T	453
ClassicalRestriction.truth_switch_left_adjoint_fails	N	127
ClassicalRestriction.switch_monotone_truth	T	3344
ClassicalRestriction.frobenius_closure_inexpressible_classically	T	188
ClassicalRestriction.truth_incl_left_adjoint	T	857
ClassicalRestriction.classical_proper_subcategory	T	38
ClassicalRestriction.info_incl_left_adjoint_fails	N	127
ClassicalRestriction.B_not_in_image	T	18
ClassicalRestriction.B_not_classical	N	75
ClassicalRestriction.T_is_classical	N	59
ClassicalRestriction.F_not_bnot_fixed	N	79
ClassicalRestriction.classical_is_constrained_subcategory	N	209
ClassicalRestriction.inc_lands_outside_classical	N	89
ClassicalRestriction.T_not_bnot_fixed	N	79
ClassicalRestriction.classicalSwitch_image_is_classical	T	446
ClassicalRestriction.classical_coreflective_in_truth_order	N	179
ClassicalRestriction.N_is_classical	N	59
ClassicalRestriction.F_is_classical	N	59
ClassicalRestriction.classicalSwitch_fixes_iff_classical	T	768
ClassicalRestriction.B_bnot_fixed	N	55
ClassicalRestriction.bnot_involutive_on_classical	T	473
ClassicalRestriction.inclClassical_injective	N	19
ClassicalRestriction.classicalSwitch_moves_B	N	79
ClassicalRestriction.classicalSwitch_idempotent	T	194
ClassicalRestriction.switch_not_monotone_info	N	187
DeMorganBooleanCentre.tjoin.eq_9	N	11
DeMorganBooleanCentre.tjoin.eq_5	T	218
DeMorganBooleanCentre.bnot_involutive	T	184
DeMorganBooleanCentre.tjoin.eq_2	T	216
DeMorganBooleanCentre.N_fails_excluded_middle	N	103
DeMorganBooleanCentre.boolSwitch_image_in_centre	T	362
DeMorganBooleanCentre.tjoin.eq_6	T	220
DeMorganBooleanCentre.tmeet_assoc	T	5160
DeMorganBooleanCentre.T_satisfies_excluded_middle	N	71
DeMorganBooleanCentre.boolSwitch_fixes_iff_centre	T	652
DeMorganBooleanCentre.truth_switch_left_adjoint_fails	N	127
DeMorganBooleanCentre.tjoin._sparseCasesOn_2.else_eq	T	620
DeMorganBooleanCentre.tjoin_assoc	T	5160
DeMorganBooleanCentre.tmeet_comm	T	976
DeMorganBooleanCentre.tjoin_comm	T	976
DeMorganBooleanCentre.de_morgan_or	T	1158
DeMorganBooleanCentre.tjoin_agrees_with_truthLE	T	4626
DeMorganBooleanCentre.info_inclCentre_left_adjoint_fails	N	127
DeMorganBooleanCentre.B_excluded_from_both	N	19
DeMorganBooleanCentre.boolSwitch_idempotent	T	194
DeMorganBooleanCentre.de_morgan_and	T	1158
DeMorganBooleanCentre.switch_inclCentre_retract	N	63
DeMorganBooleanCentre.tmeet_agrees_with_truthLE	T	4626
DeMorganBooleanCentre.F_satisfies_excluded_middle	N	71
DeMorganBooleanCentre.centre_coreflective_in_truth_order	N	195
DeMorganBooleanCentre.tjoin.eq_7	T	218
DeMorganBooleanCentre.tjoin._sparseCasesOn_1.else_eq	T	620
DeMorganBooleanCentre.N_survives_classical_restriction	N	3
DeMorganBooleanCentre.truth_inclCentre_left_adjoint	T	1178
DeMorganBooleanCentre.tjoin.eq_8	T	220
DeMorganBooleanCentre.N_excluded_from_centre	N	3
DeMorganBooleanCentre.tjoin.eq_1	N	11
DeMorganBooleanCentre.B_fails_excluded_middle	N	103
DeMorganBooleanCentre.tjoin.eq_4	N	11
DeMorganBooleanCentre.tjoin.eq_3	N	11
DeMorganBooleanCentre.centre_is_T_F	T	996
DeMorganBooleanCentre.excluded_middle_fails	T	57
DeMorganBooleanCentre.switch_monotone_truth	T	3344
DeMorganBooleanCentre.inclCentre_not_surjective	T	61
DeMorganBooleanCentre.inclCentre_injective	N	13
DeMorganBooleanCentre.the_two_cuts_differ	N	17
DeMorganBooleanCentre.tmeet_distrib_tjoin	T	5580
verdicted 91 words: N 47  T 44
